|dates|Columbia_Washington_UnitedStates.BLS_EmployedPopulation.data|Columbia_Washington_UnitedStates.BLS_EmployedPopulation.missing|Columbia_Washington_UnitedStates.BLS_UnemployedPopulation.data|Columbia_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Columbia_Washington_UnitedStates.BLS_UnemploymentRate.data|Columbia_Washington_UnitedStates.BLS_UnemploymentRate.missing|Columbia_Washington_UnitedStates.BLS_LaborForcePopulation.data|Columbia_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-02|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-03|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-04|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-05|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-06|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-07|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-08|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-09|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-10|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-11|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-12|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-13|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-14|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-15|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-16|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-17|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-18|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-19|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-20|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-21|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-22|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-23|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-24|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-25|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-26|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-27|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-28|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-29|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-30|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-01-31|1633.0|0|116.5|0|6.6590454415547295|0|1749.5|0
0|2020-02-01|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-02|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-03|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-04|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-05|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-06|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-07|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-08|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-09|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-10|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-11|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-12|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-13|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-14|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-15|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-16|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-17|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-18|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-19|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-20|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-21|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-22|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-23|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-24|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-25|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-26|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-27|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-28|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-02-29|1655.5|0|110.5|0|6.257078142695357|0|1766.0|0
0|2020-03-01|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-02|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-03|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-04|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-05|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-06|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-07|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-08|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-09|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-10|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-11|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-12|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-13|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-14|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-15|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-16|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-17|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-18|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-19|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-20|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-21|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-22|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-23|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-24|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-25|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-26|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-27|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-28|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-29|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-30|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-03-31|1632.5|0|106.0|0|6.097210238711533|0|1738.5|0
0|2020-04-01|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-02|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-03|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-04|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-05|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-06|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-07|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-08|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-09|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-10|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-11|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-12|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-13|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-14|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-15|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-16|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-17|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-18|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-19|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-20|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-21|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-22|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-23|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-24|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-25|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-26|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-27|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-28|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-29|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-04-30|1525.0|0|194.0|0|11.28563118091914|0|1719.0|0
0|2020-05-01|1525.0|0|155.0|0|9.226190476190476|0|1680.0|0
0|2020-05-02|1525.0|0|155.0|0|9.226190476190476|0|1680.0|0
