|dates|Cole_Missouri_UnitedStates.BLS_EmployedPopulation.data|Cole_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Cole_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Cole_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Cole_Missouri_UnitedStates.BLS_UnemploymentRate.data|Cole_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Cole_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Cole_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-02|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-03|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-04|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-05|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-06|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-07|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-08|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-09|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-10|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-11|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-12|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-13|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-14|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-15|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-16|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-17|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-18|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-19|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-20|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-21|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-22|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-23|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-24|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-25|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-26|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-27|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-28|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-29|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-30|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-01-31|37822.0|0|1288.5|0|3.2945117040181024|0|39110.5|0
0|2020-02-01|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-02|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-03|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-04|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-05|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-06|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-07|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-08|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-09|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-10|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-11|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-12|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-13|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-14|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-15|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-16|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
0|2020-02-17|37927.5|0|1151.5|0|2.94659535812073|0|39079.0|0
