|dates|SanDiego_California_UnitedStates.BLS_EmployedPopulation.data|SanDiego_California_UnitedStates.BLS_EmployedPopulation.missing|SanDiego_California_UnitedStates.BLS_UnemployedPopulation.data|SanDiego_California_UnitedStates.BLS_UnemployedPopulation.missing|SanDiego_California_UnitedStates.BLS_UnemploymentRate.data|SanDiego_California_UnitedStates.BLS_UnemploymentRate.missing|SanDiego_California_UnitedStates.BLS_LaborForcePopulation.data|SanDiego_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-02|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-03|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-04|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-05|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-06|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-07|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-08|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-09|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-10|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-11|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-12|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-13|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-14|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-15|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-16|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-17|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-18|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-19|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-20|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-21|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-22|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-23|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-24|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-25|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-26|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-27|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-28|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-29|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
0|2020-01-30|1531597.0|0|53417.0|0|3.3701279610148553|0|1585014.0|0
