|dates|Lake_California_UnitedStates.BLS_EmployedPopulation.data|Lake_California_UnitedStates.BLS_EmployedPopulation.missing|Lake_California_UnitedStates.BLS_UnemployedPopulation.data|Lake_California_UnitedStates.BLS_UnemployedPopulation.missing|Lake_California_UnitedStates.BLS_UnemploymentRate.data|Lake_California_UnitedStates.BLS_UnemploymentRate.missing|Lake_California_UnitedStates.BLS_LaborForcePopulation.data|Lake_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-02|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-03|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-04|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-05|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-06|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-07|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-08|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-09|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-10|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-11|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-12|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-13|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-14|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-15|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-16|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-17|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-18|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-19|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-20|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-21|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
0|2020-01-22|27097.0|0|1770.0|0|6.1315689195274885|0|28867.0|0
