|dates|Trego_Kansas_UnitedStates.BLS_EmployedPopulation.data|Trego_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Trego_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Trego_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Trego_Kansas_UnitedStates.BLS_UnemploymentRate.data|Trego_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Trego_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Trego_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-02|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-03|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-04|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-05|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-06|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-07|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-08|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-09|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-10|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-11|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-12|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-13|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-14|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-15|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-16|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-17|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-18|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
0|2020-01-19|1371.0|0|45.5|0|3.2121426050123545|0|1416.5|0
