|dates|Sabine_Texas_UnitedStates.BLS_EmployedPopulation.data|Sabine_Texas_UnitedStates.BLS_EmployedPopulation.missing|Sabine_Texas_UnitedStates.BLS_UnemployedPopulation.data|Sabine_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Sabine_Texas_UnitedStates.BLS_UnemploymentRate.data|Sabine_Texas_UnitedStates.BLS_UnemploymentRate.missing|Sabine_Texas_UnitedStates.BLS_LaborForcePopulation.data|Sabine_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-02|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-03|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-04|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-05|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-06|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-07|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-08|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-09|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-10|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-11|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-12|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-13|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-14|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-15|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-16|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-17|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-18|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-19|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-20|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-21|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-22|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-23|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-24|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
0|2020-01-25|3496.0|0|289.0|0|7.635402906208719|0|3785.0|0
