|dates|Highlands_Florida_UnitedStates.BLS_EmployedPopulation.data|Highlands_Florida_UnitedStates.BLS_EmployedPopulation.missing|Highlands_Florida_UnitedStates.BLS_UnemployedPopulation.data|Highlands_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Highlands_Florida_UnitedStates.BLS_UnemploymentRate.data|Highlands_Florida_UnitedStates.BLS_UnemploymentRate.missing|Highlands_Florida_UnitedStates.BLS_LaborForcePopulation.data|Highlands_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-02|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-03|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-04|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-05|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-06|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-07|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-08|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-09|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-10|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-11|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-12|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-13|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-14|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-15|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-16|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-17|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-18|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-19|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-20|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-21|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-22|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-23|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-24|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-25|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-26|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-27|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-28|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-29|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-30|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-01-31|34431.0|0|1771.0|0|4.891994917407878|0|36202.0|0
0|2020-02-01|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
0|2020-02-02|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
0|2020-02-03|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
0|2020-02-04|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
0|2020-02-05|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
0|2020-02-06|34607.5|0|1669.5|0|4.602089478181768|0|36277.0|0
