|dates|Roberts_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Roberts_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Roberts_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Roberts_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Roberts_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Roberts_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Roberts_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Roberts_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-02|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-03|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-04|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-05|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-06|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-07|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-08|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-09|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-10|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-11|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-12|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-13|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-14|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-15|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-16|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-17|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-18|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-19|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-20|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-21|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-22|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-23|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-24|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-25|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-26|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
0|2020-01-27|4480.5|0|279.5|0|5.871848739495798|0|4760.0|0
