|dates|Switzerland_Indiana_UnitedStates.BLS_EmployedPopulation.data|Switzerland_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Switzerland_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Switzerland_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Switzerland_Indiana_UnitedStates.BLS_UnemploymentRate.data|Switzerland_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Switzerland_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Switzerland_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-02|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-03|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-04|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-05|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-06|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-07|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-08|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-09|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-10|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-11|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-12|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-13|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-14|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-15|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-16|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-17|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-18|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-19|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-20|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-21|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-22|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-23|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-24|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-25|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-26|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-27|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-28|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-29|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-30|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-01-31|4779.5|0|182.0|0|3.6682454902751185|0|4961.5|0
0|2020-02-01|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-02|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-03|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-04|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-05|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-06|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-07|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-08|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-09|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-10|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-11|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-12|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-13|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-14|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-15|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-16|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-17|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-18|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-19|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-20|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-21|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-22|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-23|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-24|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-25|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-26|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-27|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-28|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-02-29|4755.0|0|177.0|0|3.588807785888078|0|4932.0|0
0|2020-03-01|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
0|2020-03-02|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
0|2020-03-03|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
0|2020-03-04|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
0|2020-03-05|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
0|2020-03-06|4611.5|0|173.5|0|3.625914315569488|0|4785.0|0
