|dates|Leslie_Kentucky_UnitedStates.AveragePrecipitationTotal.data|Leslie_Kentucky_UnitedStates.AveragePrecipitationTotal.missing|Leslie_Kentucky_UnitedStates.AveragePrecipitation.data|Leslie_Kentucky_UnitedStates.AveragePrecipitation.missing|Leslie_Kentucky_UnitedStates.AverageWindDirection.data|Leslie_Kentucky_UnitedStates.AverageWindDirection.missing|Leslie_Kentucky_UnitedStates.AverageWindSpeed.data|Leslie_Kentucky_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|170.20833333333334|0|4.34375|0
0|2020-01-02|0.0|0|0.0|0|18.333333333333332|0|1.1614583333333333|0
0|2020-01-03|0.0|0|0.0|0|45.625|0|1.2708333333333333|0
0|2020-01-04|0.0|0|0.0|0|220.20833333333334|0|8.385416666666666|0
0|2020-01-05|0.0|0|0.0|0|185.72916666666666|0|5.229166666666667|0
0|2020-01-06|0.0|0|0.0|0|25.0|0|0.7291666666666666|0
0|2020-01-07|0.0|0|0.0|0|150.3125|0|4.041666666666667|0
0|2020-01-08|0.0|0|0.0|0|149.47916666666666|0|4.104166666666667|0
0|2020-01-09|0.0|0|0.0|0|85.3125|0|3.0|0
0|2020-01-10|0.0|0|0.0|0|83.125|0|2.8541666666666665|0
0|2020-01-11|0.0|0|0.0|0|148.22916666666666|0|7.09375|0
0|2020-01-12|0.0|0|0.0|0|115.20833333333333|0|3.4166666666666665|0
0|2020-01-13|0.0|0|0.0|0|18.75|0|0.6770833333333334|0
0|2020-01-14|0.0|0|0.0|0|44.479166666666664|0|1.15625|0
0|2020-01-15|0.0|0|0.0|0|19.166666666666668|0|0.7604166666666666|0
0|2020-01-16|0.0|0|0.0|0|258.9583333333333|0|6.541666666666667|0
0|2020-01-17|0.0|0|0.0|0|62.395833333333336|0|2.6145833333333335|0
0|2020-01-18|0.0|0|0.0|0|171.51041666666666|0|6.15625|0
0|2020-01-19|0.0|0|0.0|0|284.3229166666667|0|10.994791666666666|0
0|2020-01-20|0.0|0|0.0|0|159.32291666666666|0|4.640625|0
0|2020-01-21|0.0|0|0.0|0|38.645833333333336|0|2.125|0
0|2020-01-22|0.0|0|0.0|0|59.895833333333336|0|1.65625|0
0|2020-01-23|0.0|0|0.0|0|86.25|0|4.020833333333333|0
0|2020-01-24|0.0|0|0.0|0|95.0|0|4.427083333333333|0
0|2020-01-25|0.0|0|0.0|0|218.22916666666666|0|4.958333333333333|0
0|2020-01-26|0.0|0|0.0|0|185.9375|0|4.895833333333333|0
0|2020-01-27|0.0|0|0.0|0|109.0625|0|1.75|0
0|2020-01-28|0.0|0|0.0|0|149.79166666666666|0|2.6875|0
0|2020-01-29|0.0|0|0.0|0|81.04166666666667|0|1.3645833333333333|0
0|2020-01-30|0.0|0|0.0|0|48.333333333333336|0|1.1770833333333333|0
0|2020-01-31|0.0|0|0.0|0|30.729166666666668|0|1.0833333333333333|0
0|2020-02-01|0.0|0|0.0|0|115.3125|0|2.96875|0
0|2020-02-02|0.0|0|0.0|0|150.83333333333334|0|4.5|0
0|2020-02-03|0.0|0|0.0|0|80.20833333333333|0|2.125|0
0|2020-02-04|0.0|0|0.0|0|135.10416666666666|0|3.2291666666666665|0
0|2020-02-05|0.0|0|0.0|0|72.1875|0|2.25|0
0|2020-02-06|0.0|0|0.0|0|131.66666666666666|0|3.3958333333333335|0
0|2020-02-07|0.0|0|0.0|0|248.125|0|7.6875|0
0|2020-02-08|0.0|0|0.0|0|36.927083333333336|0|0.8489583333333334|0
0|2020-02-09|0.0|0|0.0|0|78.22916666666667|0|2.6770833333333335|0
0|2020-02-10|0.0|0|0.0|0|95.3125|0|3.65625|0
0|2020-02-11|0.0|0|0.0|0|135.83333333333334|0|2.7604166666666665|0
0|2020-02-12|0.0|0|0.0|0|77.60416666666667|0|4.15625|0
0|2020-02-13|0.0|0|0.0|0|193.02083333333334|0|5.572916666666667|0
0|2020-02-14|0.0|0|0.0|0|217.39583333333334|0|5.15625|0
0|2020-02-15|0.0|0|0.0|0|59.166666666666664|0|2.1979166666666665|0
0|2020-02-16|0.0|0|0.0|0|42.083333333333336|0|1.09375|0
0|2020-02-17|0.0|0|0.0|0|56.5625|0|2.0416666666666665|0
0|2020-02-18|0.0|0|0.0|0|82.39583333333333|0|3.1458333333333335|0
0|2020-02-19|0.0|0|0.0|0|90.72916666666667|0|3.71875|0
0|2020-02-20|0.0|0|0.0|0|49.166666666666664|0|1.59375|0
0|2020-02-21|0.0|0|0.0|0|108.54166666666667|0|3.5416666666666665|0
0|2020-02-22|0.0|0|0.0|0|48.333333333333336|0|0.7083333333333334|0
0|2020-02-23|0.0|0|0.0|0|28.125|0|0.5833333333333334|0
0|2020-02-24|0.0|0|0.0|0|36.875|0|1.4479166666666667|0
0|2020-02-25|0.0|0|0.0|0|104.16666666666667|0|2.7291666666666665|0
0|2020-02-26|0.0|0|0.0|0|149.27083333333334|0|6.322916666666667|0
0|2020-02-27|0.0|0|0.0|0|235.20833333333334|0|8.1875|0
0|2020-02-28|0.0|0|0.0|0|130.9375|0|3.0729166666666665|0
0|2020-02-29|0.0|0|0.0|0|218.95833333333334|0|5.75|0
0|2020-03-01|0.0|0|0.0|0|56.875|0|1.5208333333333333|0
0|2020-03-02|0.0|0|0.0|0|100.52083333333333|0|2.65625|0
0|2020-03-03|0.0|0|0.0|0|157.08333333333334|0|6.1875|0
0|2020-03-04|0.0|0|0.0|0|96.66666666666667|0|2.0208333333333335|0
0|2020-03-05|0.0|0|0.0|0|56.354166666666664|0|1.625|0
0|2020-03-06|0.0|0|0.0|0|262.0833333333333|0|9.770833333333334|0
0|2020-03-07|0.0|0|0.0|0|122.60416666666667|0|2.4270833333333335|0
0|2020-03-08|0.0|0|0.0|0|57.916666666666664|0|1.96875|0
0|2020-03-09|0.0|0|0.0|0|101.77083333333333|0|3.1458333333333335|0
0|2020-03-10|0.0|0|0.0|0|135.72916666666666|0|3.5833333333333335|0
0|2020-03-11|0.0|0|0.0|0|93.64583333333333|0|2.2083333333333335|0
0|2020-03-12|0.0|0|0.0|0|64.0625|0|1.46875|0
0|2020-03-13|0.0|0|0.0|0|227.70833333333334|0|6.15625|0
0|2020-03-14|0.0|0|0.0|0|58.541666666666664|0|2.6354166666666665|0
0|2020-03-15|0.0|0|0.0|0|67.5|0|3.09375|0
0|2020-03-16|0.0|0|0.0|0|27.8125|0|0.75|0
0|2020-03-17|0.0|0|0.0|0|88.4375|0|1.3125|0
0|2020-03-18|0.0|0|0.0|0|60.729166666666664|0|1.9375|0
0|2020-03-19|0.0|0|0.0|0|91.97916666666667|0|2.6770833333333335|0
0|2020-03-20|0.0|0|0.0|0|146.25|0|4.333333333333333|0
0|2020-03-21|0.0|0|0.0|0|223.33333333333334|0|4.666666666666667|0
0|2020-03-22|0.0|0|0.0|0|59.375|0|2.4479166666666665|0
0|2020-03-23|0.0|0|0.0|0|97.08333333333333|0|2.0208333333333335|0
0|2020-03-24|0.0|0|0.0|0|48.020833333333336|0|2.2083333333333335|0
0|2020-03-25|0.0|0|0.0|0|138.64583333333334|0|3.3125|0
0|2020-03-26|0.0|0|0.0|0|109.58333333333333|0|2.8125|0
0|2020-03-27|0.0|0|0.0|0|90.9375|0|2.0625|0
0|2020-03-28|0.0|0|0.0|0|94.47916666666667|0|2.4270833333333335|0
0|2020-03-29|0.0|0|0.0|0|229.0625|0|8.229166666666666|0
0|2020-03-30|0.0|0|0.0|0|195.0|0|6.770833333333333|0
0|2020-03-31|0.0|0|0.0|0|55.364583333333336|0|1.4114583333333333|0
0|2020-04-01|0.0|0|0.0|0|220.52083333333334|0|4.197916666666667|0
0|2020-04-02|0.0|0|0.0|0|99.79166666666667|0|2.3333333333333335|0
0|2020-04-03|0.0|0|0.0|0|96.45833333333333|0|2.1666666666666665|0
0|2020-04-04|0.0|0|0.0|0|46.5625|0|1.71875|0
0|2020-04-05|0.0|0|0.0|0|102.8125|0|2.2604166666666665|0
0|2020-04-06|0.0|0|0.0|0|93.22916666666667|0|2.5520833333333335|0
0|2020-04-07|0.0|0|0.0|0|108.125|0|2.96875|0
0|2020-04-08|0.0|0|0.0|0|220.9375|0|5.895833333333333|0
0|2020-04-09|0.0|0|0.0|0|216.875|0|10.677083333333334|0
0|2020-04-10|0.0|0|0.0|0|271.1458333333333|0|8.958333333333334|0
0|2020-04-11|0.0|0|0.0|0|73.85416666666667|0|1.7083333333333333|0
0|2020-04-12|0.0|0|0.0|0|103.95833333333333|0|4.4375|0
0|2020-04-13|0.0|0|0.0|0|209.27083333333334|0|8.15625|0
0|2020-04-14|0.0|0|0.0|0|123.02083333333333|0|3.53125|0
0|2020-04-15|0.0|0|0.0|0|95.625|0|3.46875|0
0|2020-04-16|0.0|0|0.0|0|111.71875|0|3.2552083333333335|0
0|2020-04-17|0.0|0|0.0|0|122.29166666666667|0|4.96875|0
0|2020-04-18|0.0|0|0.0|0|196.97916666666666|0|4.802083333333333|0
0|2020-04-19|0.0|0|0.0|0|96.25|0|1.96875|0
0|2020-04-20|0.0|0|0.0|0|124.16666666666667|0|3.3125|0
0|2020-04-21|0.0|0|0.0|0|198.54166666666666|0|8.697916666666666|0
