|dates|Yancey_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Yancey_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Yancey_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Yancey_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Yancey_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Yancey_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Yancey_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Yancey_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-02|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-03|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-04|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-05|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-06|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-07|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-08|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-09|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-10|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-11|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-12|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-13|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-14|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-15|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-16|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-17|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
0|2020-01-18|8053.0|0|350.0|0|4.1651791027014164|0|8403.0|0
