|dates|Sargent_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sargent_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sargent_NorthDakota_UnitedStates.Male_Total_Population.data|Sargent_NorthDakota_UnitedStates.Male_Total_Population.missing|Sargent_NorthDakota_UnitedStates.Female_Total_Population.data|Sargent_NorthDakota_UnitedStates.Female_Total_Population.missing|Sargent_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sargent_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-01-31|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-02-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-03-31|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-04-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2020-05-06|872.0|0|2080.0|0|1790.0|0|803.0|0
