|dates|Butte_Idaho_UnitedStates.BLS_EmployedPopulation.data|Butte_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Butte_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Butte_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Butte_Idaho_UnitedStates.BLS_UnemploymentRate.data|Butte_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Butte_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Butte_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-02|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-03|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-04|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-05|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-06|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-07|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-08|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-09|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-10|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-11|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-12|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-13|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-14|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-15|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-16|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-17|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-18|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-19|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-20|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-21|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-22|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-23|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-24|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-25|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-26|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-27|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-28|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-29|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-30|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-01-31|1329.5|0|49.5|0|3.589557650471356|0|1379.0|0
0|2020-02-01|1331.5|0|34.0|0|2.4899304284145|0|1365.5|0
