|dates|Edmonson_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Edmonson_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Edmonson_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Edmonson_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Edmonson_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Edmonson_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Edmonson_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Edmonson_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-02|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-03|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-04|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-05|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-06|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-07|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-08|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-09|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-10|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-11|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-12|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-13|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-14|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-15|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-16|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-17|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-18|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-19|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-20|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-21|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-22|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-23|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-24|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-25|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-26|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-27|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-28|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-29|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-30|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-01-31|4507.5|0|262.5|0|5.50314465408805|0|4770.0|0
0|2020-02-01|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-02|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-03|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-04|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-05|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-06|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-07|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-08|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-09|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-10|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-11|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-12|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-13|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-14|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-15|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-16|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-17|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-18|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-19|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
0|2020-02-20|4581.0|0|253.0|0|5.233760860570956|0|4834.0|0
