|dates|KitCarson_Colorado_UnitedStates.BLS_EmployedPopulation.data|KitCarson_Colorado_UnitedStates.BLS_EmployedPopulation.missing|KitCarson_Colorado_UnitedStates.BLS_UnemployedPopulation.data|KitCarson_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|KitCarson_Colorado_UnitedStates.BLS_UnemploymentRate.data|KitCarson_Colorado_UnitedStates.BLS_UnemploymentRate.missing|KitCarson_Colorado_UnitedStates.BLS_LaborForcePopulation.data|KitCarson_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-02|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-03|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-04|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-05|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-06|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-07|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-08|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-09|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-10|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-11|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-12|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-13|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-14|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-15|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-16|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-17|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-18|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-19|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-20|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-21|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-22|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-23|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-24|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-25|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-26|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-27|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-28|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-29|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-30|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-01-31|4201.5|0|79.5|0|1.857042747021724|0|4281.0|0
0|2020-02-01|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-02|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-03|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-04|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-05|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-06|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-07|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-08|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
0|2020-02-09|4142.0|0|81.0|0|1.918067724366564|0|4223.0|0
