|dates|Sterling_Texas_UnitedStates.BLS_EmployedPopulation.data|Sterling_Texas_UnitedStates.BLS_EmployedPopulation.missing|Sterling_Texas_UnitedStates.BLS_UnemployedPopulation.data|Sterling_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Sterling_Texas_UnitedStates.BLS_UnemploymentRate.data|Sterling_Texas_UnitedStates.BLS_UnemploymentRate.missing|Sterling_Texas_UnitedStates.BLS_LaborForcePopulation.data|Sterling_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-02|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-03|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-04|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-05|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-06|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-07|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-08|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-09|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-10|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-11|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-12|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-13|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-14|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-15|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-16|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-17|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-18|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-19|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-20|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-21|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-22|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-23|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-24|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-25|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-26|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-27|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-28|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-29|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-30|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-01-31|541.0|0|20.5|0|3.6509349955476402|0|561.5|0
0|2020-02-01|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-02|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-03|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-04|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-05|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-06|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-07|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-08|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-09|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-10|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-11|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-12|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-13|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-14|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-15|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-16|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-17|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-18|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-19|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-20|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-21|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-22|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-23|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-24|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-25|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-26|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-27|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-28|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-02-29|551.5|0|19.0|0|3.3304119193689745|0|570.5|0
0|2020-03-01|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-02|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-03|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-04|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-05|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-06|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-07|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-08|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-09|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-10|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-11|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-12|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-13|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-14|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-15|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-16|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-17|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-18|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-19|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-20|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-21|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-22|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-23|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-24|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-25|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-26|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-27|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-28|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-29|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-30|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-03-31|548.5|0|27.0|0|4.691572545612511|0|575.5|0
0|2020-04-01|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-02|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-03|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-04|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-05|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-06|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-07|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-08|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-09|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-10|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-11|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-12|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-13|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-14|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-15|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-16|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-17|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-18|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-19|482.0|0|39.5|0|7.574304889741131|0|521.5|0
0|2020-04-20|482.0|0|39.5|0|7.574304889741131|0|521.5|0
