|dates|Mineral_Nevada_UnitedStates.BLS_EmployedPopulation.data|Mineral_Nevada_UnitedStates.BLS_EmployedPopulation.missing|Mineral_Nevada_UnitedStates.BLS_UnemployedPopulation.data|Mineral_Nevada_UnitedStates.BLS_UnemployedPopulation.missing|Mineral_Nevada_UnitedStates.BLS_UnemploymentRate.data|Mineral_Nevada_UnitedStates.BLS_UnemploymentRate.missing|Mineral_Nevada_UnitedStates.BLS_LaborForcePopulation.data|Mineral_Nevada_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-02|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-03|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-04|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-05|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-06|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-07|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-08|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-09|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-10|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-11|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-12|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-13|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-14|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-15|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-16|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-17|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-18|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-19|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-20|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-21|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-22|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-23|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-24|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-25|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-26|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-27|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-28|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-29|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-30|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-01-31|2025.0|0|84.0|0|3.9829302987197726|0|2109.0|0
0|2020-02-01|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-02|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-03|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-04|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-05|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-06|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
0|2020-02-07|2049.5|0|77.5|0|3.6436295251527975|0|2127.0|0
