|dates|Keweenaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Keweenaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Keweenaw_Michigan_UnitedStates.Male_Total_Population.data|Keweenaw_Michigan_UnitedStates.Male_Total_Population.missing|Keweenaw_Michigan_UnitedStates.Female_Total_Population.data|Keweenaw_Michigan_UnitedStates.Female_Total_Population.missing|Keweenaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Keweenaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-03|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-04|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-05|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-06|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-07|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-08|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-09|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-10|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-11|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-12|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-13|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-14|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-15|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-16|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-17|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-18|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-19|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-20|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-21|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-22|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-23|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-24|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-25|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-26|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-27|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-28|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-29|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-30|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-01-31|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-03|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-04|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-05|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-06|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-07|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-08|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-09|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-10|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-11|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-12|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-13|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-14|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-15|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-16|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-17|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-18|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-19|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-20|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-21|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-22|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-23|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-24|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-25|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-26|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-27|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-28|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-02-29|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-03-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-03-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2020-03-03|777.0|0|1085.0|0|1028.0|0|313.0|0
