|dates|LacquiParle_Minnesota_UnitedStates.BLS_EmployedPopulation.data|LacquiParle_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|LacquiParle_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|LacquiParle_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|LacquiParle_Minnesota_UnitedStates.BLS_UnemploymentRate.data|LacquiParle_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|LacquiParle_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|LacquiParle_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-02|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-03|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-04|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-05|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-06|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-07|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-08|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-09|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-10|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-11|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-12|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-13|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-14|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-15|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-16|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-17|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-18|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-19|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-20|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-21|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-22|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-23|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-24|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-25|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
0|2020-01-26|3251.0|0|192.0|0|5.576532094103979|0|3443.0|0
