|dates|Collier_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Collier_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Collier_Florida_UnitedStates.Male_Total_Population.data|Collier_Florida_UnitedStates.Male_Total_Population.missing|Collier_Florida_UnitedStates.Female_Total_Population.data|Collier_Florida_UnitedStates.Female_Total_Population.missing|Collier_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Collier_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-01-31|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-02-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-03-31|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-04-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2020-05-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
