|dates|Sheridan_Wyoming_UnitedStates.BLS_EmployedPopulation.data|Sheridan_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|Sheridan_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|Sheridan_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|Sheridan_Wyoming_UnitedStates.BLS_UnemploymentRate.data|Sheridan_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|Sheridan_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|Sheridan_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-02|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-03|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-04|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-05|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-06|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-07|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-08|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-09|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-10|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-11|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-12|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-13|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-14|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-15|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-16|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-17|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-18|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-19|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-20|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-21|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-22|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-23|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-24|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-25|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-26|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
0|2020-01-27|14984.5|0|722.5|0|4.599859935060801|0|15707.0|0
