|dates|Washington_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Arkansas_UnitedStates.Male_Total_Population.data|Washington_Arkansas_UnitedStates.Male_Total_Population.missing|Washington_Arkansas_UnitedStates.Female_Total_Population.data|Washington_Arkansas_UnitedStates.Female_Total_Population.missing|Washington_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-02|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-03|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-04|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-05|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-06|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-07|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-08|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-09|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-10|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-11|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-12|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-13|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-14|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-15|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-16|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-17|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-18|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-19|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-20|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-21|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-22|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-23|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-24|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-25|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-26|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-27|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-28|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-29|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-30|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-01-31|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-01|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-02|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-03|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-04|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-05|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-06|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-07|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-08|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-09|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-10|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-11|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-12|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-13|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-14|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-15|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-16|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-17|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-18|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-19|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-20|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-21|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-22|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-23|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-24|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-25|27809.0|0|118335.0|0|118626.0|0|57728.0|0
0|2020-02-26|27809.0|0|118335.0|0|118626.0|0|57728.0|0
