|dates|Washington_Maine_UnitedStates.BLS_EmployedPopulation.data|Washington_Maine_UnitedStates.BLS_EmployedPopulation.missing|Washington_Maine_UnitedStates.BLS_UnemployedPopulation.data|Washington_Maine_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Maine_UnitedStates.BLS_UnemploymentRate.data|Washington_Maine_UnitedStates.BLS_UnemploymentRate.missing|Washington_Maine_UnitedStates.BLS_LaborForcePopulation.data|Washington_Maine_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-02|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-03|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-04|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-05|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-06|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-07|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-08|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-09|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-10|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-11|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-12|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-13|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-14|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-15|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-16|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-17|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-18|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-19|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-20|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-21|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-22|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-23|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-24|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-25|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-26|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-27|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-28|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-29|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-30|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-01-31|12568.0|0|911.5|0|6.762120256686079|0|13479.5|0
0|2020-02-01|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-02|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-03|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-04|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-05|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-06|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-07|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-08|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-09|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-10|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-11|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-12|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-13|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-14|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-15|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-16|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-17|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-18|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-19|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-20|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-21|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-22|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-23|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-24|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-25|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-26|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-27|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-28|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-02-29|12827.0|0|951.0|0|6.902308027289882|0|13778.0|0
0|2020-03-01|12575.0|0|952.5|0|7.041212345222695|0|13527.5|0
0|2020-03-02|12575.0|0|952.5|0|7.041212345222695|0|13527.5|0
0|2020-03-03|12575.0|0|952.5|0|7.041212345222695|0|13527.5|0
0|2020-03-04|12575.0|0|952.5|0|7.041212345222695|0|13527.5|0
