|dates|Butler_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Butler_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Butler_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Butler_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Butler_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Butler_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Butler_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Butler_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-02|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-03|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-04|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-05|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-06|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-07|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-08|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-09|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-10|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-11|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-12|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-13|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-14|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-15|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-16|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-17|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-18|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-19|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
0|2020-01-20|4854.5|0|289.5|0|5.6279160186625194|0|5144.0|0
