|dates|Bulloch_Georgia_UnitedStates.BLS_EmployedPopulation.data|Bulloch_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Bulloch_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Bulloch_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Bulloch_Georgia_UnitedStates.BLS_UnemploymentRate.data|Bulloch_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Bulloch_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Bulloch_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-02|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-03|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-04|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-05|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-06|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-07|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-08|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-09|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-10|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-11|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-12|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-13|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-14|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-15|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-16|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-17|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-18|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-19|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-20|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-21|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-22|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-23|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-24|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-25|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-26|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-27|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-28|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-29|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-30|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-01-31|35690.5|0|1439.5|0|3.876918933476973|0|37130.0|0
0|2020-02-01|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-02|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-03|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-04|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-05|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-06|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-07|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-08|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-09|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-10|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-11|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-12|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-13|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
0|2020-02-14|36090.5|0|1407.5|0|3.7535335217878285|0|37498.0|0
