|dates|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sterling_Texas_UnitedStates.Male_Total_Population.data|Sterling_Texas_UnitedStates.Male_Total_Population.missing|Sterling_Texas_UnitedStates.Female_Total_Population.data|Sterling_Texas_UnitedStates.Female_Total_Population.missing|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-01-31|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-02-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-03-31|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-04-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2020-05-20|189.0|0|668.0|0|643.0|0|373.0|0
