|dates|Montgomery_NewYork_UnitedStates.BLS_EmployedPopulation.data|Montgomery_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Montgomery_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Montgomery_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Montgomery_NewYork_UnitedStates.BLS_UnemploymentRate.data|Montgomery_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Montgomery_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Montgomery_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-02|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-03|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-04|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-05|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-06|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-07|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-08|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-09|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-10|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-11|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-12|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-13|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-14|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-15|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-16|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-17|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-18|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-19|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-20|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-21|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-22|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-23|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-24|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-25|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-26|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-27|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-28|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
0|2020-01-29|21205.0|0|1390.0|0|6.15180349634875|0|22595.0|0
