|dates|Kent_Texas_UnitedStates.BLS_EmployedPopulation.data|Kent_Texas_UnitedStates.BLS_EmployedPopulation.missing|Kent_Texas_UnitedStates.BLS_UnemployedPopulation.data|Kent_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Kent_Texas_UnitedStates.BLS_UnemploymentRate.data|Kent_Texas_UnitedStates.BLS_UnemploymentRate.missing|Kent_Texas_UnitedStates.BLS_LaborForcePopulation.data|Kent_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-02|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-03|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-04|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-05|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-06|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-07|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-08|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-09|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-10|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-11|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-12|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-13|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-14|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-15|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-16|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-17|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-18|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-19|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-20|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-21|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-22|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-23|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-24|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-25|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-26|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-27|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-28|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-29|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-30|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-01-31|451.0|0|17.5|0|3.7353255069370332|0|468.5|0
0|2020-02-01|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-02|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-03|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-04|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-05|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-06|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-07|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-08|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
0|2020-02-09|457.0|0|15.0|0|3.1779661016949152|0|472.0|0
