|dates|Lincoln_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Lincoln_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Lincoln_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-02|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-03|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-04|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-05|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-06|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-07|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-08|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-09|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-10|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-11|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-12|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-13|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-14|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-15|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-16|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-17|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-18|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-19|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-20|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-21|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-22|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-23|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-24|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-25|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-26|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-27|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-28|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
0|2020-01-29|34180.0|0|944.0|0|2.687620999886118|0|35124.0|0
