|dates|Kings_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kings_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kings_NewYork_UnitedStates.Male_Total_Population.data|Kings_NewYork_UnitedStates.Male_Total_Population.missing|Kings_NewYork_UnitedStates.Female_Total_Population.data|Kings_NewYork_UnitedStates.Female_Total_Population.missing|Kings_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Kings_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-02|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-03|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-04|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-05|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-06|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-07|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-08|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-09|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-10|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-11|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-12|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-13|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-14|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-15|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-16|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-17|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-18|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-19|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-20|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-21|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-22|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-23|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-24|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-25|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-26|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-27|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-28|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-29|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-30|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-01-31|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-01|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-02|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-03|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-04|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-05|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-06|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-07|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-08|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-09|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-10|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-11|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-12|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-13|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-14|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-15|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-16|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-17|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-18|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-19|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-20|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-21|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-22|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-23|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-24|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-25|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-26|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2020-02-27|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
