|dates|Pershing_Nevada_UnitedStates.BLS_EmployedPopulation.data|Pershing_Nevada_UnitedStates.BLS_EmployedPopulation.missing|Pershing_Nevada_UnitedStates.BLS_UnemployedPopulation.data|Pershing_Nevada_UnitedStates.BLS_UnemployedPopulation.missing|Pershing_Nevada_UnitedStates.BLS_UnemploymentRate.data|Pershing_Nevada_UnitedStates.BLS_UnemploymentRate.missing|Pershing_Nevada_UnitedStates.BLS_LaborForcePopulation.data|Pershing_Nevada_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-02|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-03|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-04|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-05|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-06|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-07|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-08|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-09|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-10|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-11|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-12|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-13|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-14|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-15|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-16|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-17|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-18|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-19|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-20|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-21|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-22|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-23|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-24|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-25|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-26|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-27|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-28|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-29|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-30|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-01-31|2576.0|0|106.0|0|3.9522744220730797|0|2682.0|0
0|2020-02-01|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-02|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-03|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-04|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-05|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-06|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-07|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-08|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-09|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-10|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-11|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-12|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-13|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-14|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-15|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-16|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-17|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-18|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-19|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-20|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-21|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-22|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-23|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-24|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-25|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-26|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-27|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-28|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-02-29|2530.5|0|110.0|0|4.165877674682825|0|2640.5|0
0|2020-03-01|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-02|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-03|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-04|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-05|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-06|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-07|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-08|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-09|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-10|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-11|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-12|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-13|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-14|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-15|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-16|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-17|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-18|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-19|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-20|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-21|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-22|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-23|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
0|2020-03-24|2548.5|0|177.0|0|6.494221243808475|0|2725.5|0
