|dates|Macon_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Macon_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Macon_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Macon_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Macon_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Macon_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Macon_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Macon_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-02|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-03|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-04|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-05|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-06|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-07|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-08|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-09|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-10|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-11|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-12|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-13|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-14|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-15|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-16|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-17|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-18|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-19|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-20|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-21|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-22|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-23|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-24|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-25|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-26|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-27|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-28|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-29|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-30|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-01-31|14691.5|0|649.5|0|4.233752688872955|0|15341.0|0
0|2020-02-01|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-02|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-03|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-04|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-05|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-06|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-07|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-08|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-09|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-10|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-11|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-12|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-13|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-14|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-15|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-16|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-17|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-18|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-19|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-20|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-21|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-22|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-23|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-24|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-25|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-26|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-27|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-28|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-02-29|14900.5|0|615.0|0|3.9637781573265443|0|15515.5|0
0|2020-03-01|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-02|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-03|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-04|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-05|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-06|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-07|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
0|2020-03-08|14322.5|0|647.5|0|4.325317301269205|0|14970.0|0
