|dates|Sierra_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Sierra_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Sierra_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Sierra_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Sierra_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Sierra_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Sierra_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Sierra_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-02|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-03|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-04|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-05|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-06|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-07|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-08|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-09|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-10|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-11|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-12|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-13|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-14|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-15|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-16|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-17|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-18|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-19|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-20|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
0|2020-01-21|3628.5|0|290.5|0|7.41260525644297|0|3919.0|0
