|dates|Shelby_Texas_UnitedStates.AveragePrecipitationTotal.data|Shelby_Texas_UnitedStates.AveragePrecipitationTotal.missing|Shelby_Texas_UnitedStates.AveragePrecipitation.data|Shelby_Texas_UnitedStates.AveragePrecipitation.missing|Shelby_Texas_UnitedStates.AverageWindDirection.data|Shelby_Texas_UnitedStates.AverageWindDirection.missing|Shelby_Texas_UnitedStates.AverageWindSpeed.data|Shelby_Texas_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|70.0|0|3.6041666666666665|0
0|2020-01-02|0.007916666666666666|0|0.03659722222222223|0|127.0138888888889|0|3.9930555555555554|0
0|2020-01-03|0.004166666666666667|0|0.0|0|182.5|0|4.857638888888889|0
0|2020-01-04|0.0|0|0.0|0|155.41666666666666|0|3.6666666666666665|0
0|2020-01-05|0.0|0|0.0|0|94.58333333333333|0|4.5|0
0|2020-01-06|0.0|0|0.0|0|178.33333333333334|0|4.708333333333333|0
0|2020-01-07|0.0|0|0.0|0|181.25|0|3.875|0
0|2020-01-08|0.0|0|0.0|0|88.88888888888887|0|6.381944444444444|0
0|2020-01-09|0.0|0|0.0|0|143.125|0|11.590277777777777|0
0|2020-01-10|0.0|0|0.0015277777777777779|0|147.70833333333334|0|13.333333333333336|0
0|2020-01-11|0.021041666666666667|0|0.026855158730158733|0|243.21329365079364|0|9.440079365079365|0
0|2020-01-12|0.0004166666666666667|0|0.0|0|64.375|0|4.333333333333333|0
0|2020-01-13|0.0|0|0.00020833333333333335|0|67.41666666666667|0|3.0875|0
0|2020-01-14|0.0023958333333333336|0|0.00777281746031746|0|91.3561507936508|0|2.024107142857143|0
0|2020-01-15|0.0|0|0.0|0|165.55555555555557|0|6.684027777777778|0
0|2020-01-16|0.0|0|0.00020833333333333335|0|69.2638888888889|0|7.415972222222223|0
0|2020-01-17|0.0|0|0.0004166666666666667|0|98.95833333333333|0|10.041666666666666|0
0|2020-01-18|0.0014583333333333334|0|0.0025|0|260.2083333333333|0|8.5|0
