|dates|Kandiyohi_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Kandiyohi_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Kandiyohi_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Kandiyohi_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Kandiyohi_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Kandiyohi_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Kandiyohi_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Kandiyohi_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-02|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-03|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-04|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-05|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-06|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-07|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-08|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-09|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-10|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-11|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-12|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-13|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-14|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-15|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-16|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-17|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
0|2020-01-18|22956.0|0|1159.5|0|4.8081109659762395|0|24115.5|0
