|dates|Boulder_Colorado_UnitedStates.BLS_EmployedPopulation.data|Boulder_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Boulder_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Boulder_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Boulder_Colorado_UnitedStates.BLS_UnemploymentRate.data|Boulder_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Boulder_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Boulder_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-02|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-03|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-04|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-05|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-06|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-07|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-08|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-09|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-10|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-11|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-12|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-13|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-14|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-15|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-16|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-17|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-18|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-19|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-20|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
0|2020-01-21|191141.0|0|4645.0|0|2.372488329094011|0|195786.0|0
