|dates|Fentress_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Fentress_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Fentress_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Fentress_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Fentress_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Fentress_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Fentress_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Fentress_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-02|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-03|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-04|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-05|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-06|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-07|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-08|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-09|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-10|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-11|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-12|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-13|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-14|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-15|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-16|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-17|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-18|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-19|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-20|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-21|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-22|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-23|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-24|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-25|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-26|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-27|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-28|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-29|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-30|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-01-31|7246.0|0|376.0|0|4.9330884282340595|0|7622.0|0
0|2020-02-01|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-02|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-03|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-04|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-05|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-06|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-07|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-08|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-09|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-10|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-11|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-12|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-13|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-14|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-15|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-16|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-17|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-18|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-19|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-20|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-21|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-22|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-23|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-24|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-25|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-26|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-27|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-28|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
0|2020-02-29|7302.0|0|358.5|0|4.679851184648522|0|7660.5|0
