|dates|Todd_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Todd_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Todd_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Todd_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Todd_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Todd_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Todd_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Todd_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-02|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-03|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-04|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-05|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-06|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-07|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-08|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-09|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-10|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-11|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-12|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-13|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-14|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-15|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-16|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-17|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-18|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-19|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-20|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-21|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-22|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-23|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-24|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-25|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-26|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-27|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-28|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-29|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-30|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-01-31|5261.5|0|246.5|0|4.4753086419753085|0|5508.0|0
0|2020-02-01|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-02|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-03|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-04|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-05|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-06|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-07|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-08|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-09|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-10|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
0|2020-02-11|5246.0|0|227.0|0|4.14763383884524|0|5473.0|0
