|dates|Donley_Texas_UnitedStates.BLS_EmployedPopulation.data|Donley_Texas_UnitedStates.BLS_EmployedPopulation.missing|Donley_Texas_UnitedStates.BLS_UnemployedPopulation.data|Donley_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Donley_Texas_UnitedStates.BLS_UnemploymentRate.data|Donley_Texas_UnitedStates.BLS_UnemploymentRate.missing|Donley_Texas_UnitedStates.BLS_LaborForcePopulation.data|Donley_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-02|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-03|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-04|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-05|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-06|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-07|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-08|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-09|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-10|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-11|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-12|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-13|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-14|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-15|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-16|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-17|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-18|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-19|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-20|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-21|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-22|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-23|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-24|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-25|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-26|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-27|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-28|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-29|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-30|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-01-31|1370.0|0|52.0|0|3.6568213783403656|0|1422.0|0
0|2020-02-01|1383.5|0|45.5|0|3.184044786564031|0|1429.0|0
0|2020-02-02|1383.5|0|45.5|0|3.184044786564031|0|1429.0|0
