|dates|Sevier_Utah_UnitedStates.BLS_EmployedPopulation.data|Sevier_Utah_UnitedStates.BLS_EmployedPopulation.missing|Sevier_Utah_UnitedStates.BLS_UnemployedPopulation.data|Sevier_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Sevier_Utah_UnitedStates.BLS_UnemploymentRate.data|Sevier_Utah_UnitedStates.BLS_UnemploymentRate.missing|Sevier_Utah_UnitedStates.BLS_LaborForcePopulation.data|Sevier_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-02|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-03|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-04|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-05|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-06|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-07|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-08|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-09|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-10|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-11|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-12|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-13|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-14|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-15|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-16|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-17|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-18|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-19|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-20|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-21|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-22|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-23|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-24|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-25|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-26|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-27|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-28|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-29|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-30|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-01-31|9263.5|0|358.5|0|3.7258366244024113|0|9622.0|0
0|2020-02-01|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-02|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-03|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-04|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-05|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-06|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-07|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-08|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-09|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-10|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-11|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-12|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-13|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-14|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-15|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-16|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-17|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-18|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-19|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-20|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-21|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-22|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-23|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-24|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-25|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-26|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-27|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-28|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-02-29|9377.0|0|359.0|0|3.6873459326211995|0|9736.0|0
0|2020-03-01|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-02|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-03|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-04|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-05|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-06|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-07|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-08|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-09|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-10|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-11|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-12|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-13|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-14|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-15|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-16|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-17|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-18|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-19|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-20|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-21|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-22|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-23|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-24|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-25|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-26|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-27|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-28|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-29|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-30|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-03-31|9321.0|0|440.5|0|4.5126261332786965|0|9761.5|0
0|2020-04-01|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-02|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-03|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-04|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-05|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-06|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-07|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-08|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-09|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-10|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-11|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-12|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-13|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-14|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-15|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-16|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-17|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-18|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-19|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-20|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-21|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-22|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-23|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-24|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-25|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-26|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-27|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-28|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-29|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-04-30|8886.0|0|770.5|0|7.9790814477295084|0|9656.5|0
0|2020-05-01|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-02|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-03|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-04|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-05|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-06|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-07|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-08|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-09|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-10|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-11|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-12|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-13|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-14|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-15|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-16|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-17|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
0|2020-05-18|9027.0|0|517.0|0|5.417015926236379|0|9544.0|0
