|dates|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hooker_Nebraska_UnitedStates.Male_Total_Population.data|Hooker_Nebraska_UnitedStates.Male_Total_Population.missing|Hooker_Nebraska_UnitedStates.Female_Total_Population.data|Hooker_Nebraska_UnitedStates.Female_Total_Population.missing|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-02|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-03|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-04|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-05|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-06|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-07|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-08|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-09|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-10|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-11|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-12|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-13|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-14|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-15|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-16|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-17|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-18|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-19|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-20|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-21|208.0|0|329.0|0|353.0|0|151.0|0
0|2020-01-22|208.0|0|329.0|0|353.0|0|151.0|0
