|dates|Reno_Kansas_UnitedStates.BLS_EmployedPopulation.data|Reno_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Reno_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Reno_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Reno_Kansas_UnitedStates.BLS_UnemploymentRate.data|Reno_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Reno_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Reno_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-02|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-03|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-04|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-05|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-06|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-07|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-08|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-09|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-10|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-11|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-12|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-13|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-14|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-15|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-16|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-17|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-18|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-19|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-20|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-21|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-22|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-23|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-24|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-25|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-26|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-27|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-28|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-29|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
0|2020-01-30|28432.5|0|976.0|0|3.3187683832905455|0|29408.5|0
