|dates|Lee_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Lee_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Lee_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Lee_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Lee_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Lee_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Lee_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Lee_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-02|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-03|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-04|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-05|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-06|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-07|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-08|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-09|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-10|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-11|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-12|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-13|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-14|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-15|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-16|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-17|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-18|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-19|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-20|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-21|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-22|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-23|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-24|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-25|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-26|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-27|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-28|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-29|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-30|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-01-31|25265.5|0|1108.0|0|4.201186797353404|0|26373.5|0
0|2020-02-01|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-02|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-03|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-04|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-05|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-06|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-07|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-08|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-09|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-10|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-11|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
0|2020-02-12|25465.5|0|1023.5|0|3.863868020687833|0|26489.0|0
