|dates|Sac_Iowa_UnitedStates.BLS_EmployedPopulation.data|Sac_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Sac_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Sac_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Sac_Iowa_UnitedStates.BLS_UnemploymentRate.data|Sac_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Sac_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Sac_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-02|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-03|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-04|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-05|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-06|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-07|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-08|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-09|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-10|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-11|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-12|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-13|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-14|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-15|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-16|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-17|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-18|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-19|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-20|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-21|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-22|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-23|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-24|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
0|2020-01-25|5151.5|0|180.5|0|3.3852213053263314|0|5332.0|0
