|dates|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Highland_Virginia_UnitedStates.Male_Total_Population.data|Highland_Virginia_UnitedStates.Male_Total_Population.missing|Highland_Virginia_UnitedStates.Female_Total_Population.data|Highland_Virginia_UnitedStates.Female_Total_Population.missing|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-03-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-03-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-04-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-05-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-26|760.0|0|1100.0|0|1110.0|0|290.0|0
