|dates|Surry_Virginia_UnitedStates.BLS_EmployedPopulation.data|Surry_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Surry_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Surry_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Surry_Virginia_UnitedStates.BLS_UnemploymentRate.data|Surry_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Surry_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Surry_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-02|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-03|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-04|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-05|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-06|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-07|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-08|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-09|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-10|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-11|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-12|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-13|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-14|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-15|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-16|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-17|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-18|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-19|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-20|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-21|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-22|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-23|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-24|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-25|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-26|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-27|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-28|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-29|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-30|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-01-31|3532.5|0|134.5|0|3.6678483774202344|0|3667.0|0
0|2020-02-01|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-02|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-03|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-04|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-05|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-06|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-07|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-08|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-09|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-10|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-11|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-12|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-13|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-14|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-15|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-16|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
0|2020-02-17|3564.0|0|123.5|0|3.3491525423728814|0|3687.5|0
