|dates|Wake_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Wake_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Wake_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Wake_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Wake_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Wake_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Wake_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Wake_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-02|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-03|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-04|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-05|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-06|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-07|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-08|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-09|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-10|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-11|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-12|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-13|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-14|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-15|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-16|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-17|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-18|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
0|2020-01-19|582308.0|0|19673.0|0|3.2680433435606773|0|601981.0|0
