|dates|Rush_Kansas_UnitedStates.BLS_EmployedPopulation.data|Rush_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Rush_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Rush_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Rush_Kansas_UnitedStates.BLS_UnemploymentRate.data|Rush_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Rush_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Rush_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-02|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-03|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-04|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-05|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-06|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-07|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-08|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-09|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-10|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-11|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-12|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-13|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-14|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-15|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-16|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-17|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-18|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-19|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-20|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-21|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-22|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-23|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-24|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-25|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-26|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-27|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-28|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-29|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-30|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-01-31|1555.0|0|48.5|0|3.0246336139694416|0|1603.5|0
0|2020-02-01|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-02|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-03|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-04|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-05|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-06|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-07|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-08|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-09|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-10|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
0|2020-02-11|1572.0|0|43.0|0|2.6625386996904026|0|1615.0|0
