|dates|Boyd_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Boyd_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Boyd_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Boyd_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Boyd_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Boyd_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Boyd_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Boyd_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-02|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-03|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-04|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-05|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-06|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-07|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-08|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-09|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-10|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-11|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-12|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-13|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-14|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-15|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-16|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-17|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-18|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-19|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-20|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-21|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-22|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-23|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-24|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-25|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-26|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-27|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-28|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-29|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-30|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
0|2020-01-31|1060.5|0|36.5|0|3.327256153144941|0|1097.0|0
