|dates|Deschutes_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Deschutes_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Deschutes_Oregon_UnitedStates.Male_Total_Population.data|Deschutes_Oregon_UnitedStates.Male_Total_Population.missing|Deschutes_Oregon_UnitedStates.Female_Total_Population.data|Deschutes_Oregon_UnitedStates.Female_Total_Population.missing|Deschutes_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Deschutes_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-02|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-03|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-04|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-05|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-06|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-07|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-08|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-09|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-10|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-11|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-12|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-13|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-14|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-15|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-16|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-17|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-18|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-19|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-20|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-21|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-22|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-23|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-24|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-25|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-26|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-27|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-28|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-29|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-30|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-01-31|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-01|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-02|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-03|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-04|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-05|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-06|38408.0|0|95002.0|0|96994.0|0|38645.0|0
0|2020-02-07|38408.0|0|95002.0|0|96994.0|0|38645.0|0
