|dates|Leelanau_Michigan_UnitedStates.BLS_EmployedPopulation.data|Leelanau_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Leelanau_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Leelanau_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Leelanau_Michigan_UnitedStates.BLS_UnemploymentRate.data|Leelanau_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Leelanau_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Leelanau_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-02|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-03|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-04|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-05|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-06|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-07|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-08|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-09|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-10|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-11|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-12|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-13|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-14|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-15|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-16|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-17|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-18|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-19|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-20|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-21|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-22|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-23|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-24|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-25|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
0|2020-01-26|9696.5|0|435.5|0|4.2982629293328065|0|10132.0|0
