|dates|Burke_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Burke_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Burke_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Burke_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Burke_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Burke_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Burke_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Burke_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-02|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-03|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-04|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-05|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-06|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-07|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-08|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-09|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-10|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-11|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-12|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-13|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-14|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-15|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-16|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-17|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-18|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-19|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-20|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
0|2020-01-21|39628.5|0|1507.0|0|3.6635023276731777|0|41135.5|0
