|dates|Campbell_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Campbell_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Campbell_SouthDakota_UnitedStates.Male_Total_Population.data|Campbell_SouthDakota_UnitedStates.Male_Total_Population.missing|Campbell_SouthDakota_UnitedStates.Female_Total_Population.data|Campbell_SouthDakota_UnitedStates.Female_Total_Population.missing|Campbell_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Campbell_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-02|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-03|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-04|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-05|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-06|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-07|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-08|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-09|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-10|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-11|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-12|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-13|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-14|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-15|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-16|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-17|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-18|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-19|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-20|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-21|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-22|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-23|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-24|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-25|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-26|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-27|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-28|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-29|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-30|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-01-31|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-01|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-02|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-03|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-04|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-05|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-06|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-07|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-08|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-09|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-10|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-11|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-12|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-13|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-14|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-15|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-16|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-17|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-18|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-19|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-20|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-21|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-22|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-23|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-24|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-25|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-26|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-27|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-28|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-02-29|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-01|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-02|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-03|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-04|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-05|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-06|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-07|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-08|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-09|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-10|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-11|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-12|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-13|390.0|0|716.0|0|661.0|0|219.0|0
0|2020-03-14|390.0|0|716.0|0|661.0|0|219.0|0
