|dates|Hettinger_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Hettinger_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Hettinger_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Hettinger_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Hettinger_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Hettinger_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Hettinger_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Hettinger_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-02|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-03|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-04|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-05|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-06|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-07|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-08|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-09|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-10|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-11|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-12|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-13|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-14|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-15|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-16|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-17|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-18|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-19|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-20|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-21|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-22|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-23|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-24|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-25|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-26|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-27|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-28|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-29|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-30|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-01-31|1295.0|0|44.5|0|3.322135125046659|0|1339.5|0
0|2020-02-01|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-02|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-03|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-04|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-05|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-06|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-07|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-08|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-09|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-10|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-11|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-12|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-13|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-14|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-15|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-16|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-17|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-18|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-19|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-20|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-21|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-22|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-23|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-24|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-25|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-26|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-27|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-28|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-02-29|1279.0|0|35.5|0|2.700646633701027|0|1314.5|0
0|2020-03-01|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-02|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-03|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-04|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-05|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-06|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-07|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-08|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-09|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-10|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-11|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-12|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-13|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-14|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-15|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-16|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-17|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-18|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-19|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-20|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-21|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-22|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-23|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-24|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-25|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-26|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-27|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-28|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-29|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-30|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-03-31|1325.0|0|45.0|0|3.2846715328467155|0|1370.0|0
0|2020-04-01|1320.5|0|66.0|0|4.760187522538767|0|1386.5|0
0|2020-04-02|1320.5|0|66.0|0|4.760187522538767|0|1386.5|0
0|2020-04-03|1320.5|0|66.0|0|4.760187522538767|0|1386.5|0
