|dates|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Spartanburg_SouthCarolina_UnitedStates.Male_Total_Population.data|Spartanburg_SouthCarolina_UnitedStates.Male_Total_Population.missing|Spartanburg_SouthCarolina_UnitedStates.Female_Total_Population.data|Spartanburg_SouthCarolina_UnitedStates.Female_Total_Population.missing|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-02|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-03|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-04|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-05|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-06|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-07|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-08|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-09|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-10|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-11|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-12|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-13|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-14|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-15|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-16|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-17|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-18|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-19|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-20|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-21|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-22|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-23|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-24|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-25|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-26|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-27|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-28|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-29|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-30|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-01-31|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-01|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-02|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-03|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-04|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-05|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-06|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-07|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-08|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-09|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-10|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-11|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-12|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-13|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-14|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-15|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-16|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-17|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-18|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-19|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-20|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-21|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-22|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-23|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-24|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-25|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-26|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-27|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-28|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-02-29|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-01|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-02|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-03|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-04|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-05|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-06|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-07|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-08|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-09|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-10|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-11|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-12|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-13|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-14|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-15|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-16|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-17|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-18|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-19|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-20|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-21|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-22|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-23|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-24|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-25|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-26|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2020-03-27|50812.0|0|152188.0|0|161700.0|0|72501.0|0
