|dates|Hamlin_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hamlin_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hamlin_SouthDakota_UnitedStates.Male_Total_Population.data|Hamlin_SouthDakota_UnitedStates.Male_Total_Population.missing|Hamlin_SouthDakota_UnitedStates.Female_Total_Population.data|Hamlin_SouthDakota_UnitedStates.Female_Total_Population.missing|Hamlin_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hamlin_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-02|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-03|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-04|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-05|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-06|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-07|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-08|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-09|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-10|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-11|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-12|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-13|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-14|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-15|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-16|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-17|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-18|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-19|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-20|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-21|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-22|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-23|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-24|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-25|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-26|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-27|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-28|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-29|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-30|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-01-31|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-01|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-02|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-03|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-04|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-05|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-06|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-07|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-08|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-09|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-10|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-11|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-12|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-13|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-14|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-15|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-16|953.0|0|3138.0|0|2973.0|0|1924.0|0
0|2020-02-17|953.0|0|3138.0|0|2973.0|0|1924.0|0
