|dates|Williamsburg_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Williamsburg_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Williamsburg_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Williamsburg_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Williamsburg_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Williamsburg_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Williamsburg_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Williamsburg_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-02|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-03|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-04|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-05|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-06|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-07|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-08|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-09|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-10|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-11|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-12|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-13|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-14|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-15|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-16|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-17|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-18|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
0|2020-01-19|11320.0|0|617.0|0|5.168802881796096|0|11937.0|0
