|dates|Branch_Michigan_UnitedStates.BLS_EmployedPopulation.data|Branch_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Branch_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Branch_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Branch_Michigan_UnitedStates.BLS_UnemploymentRate.data|Branch_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Branch_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Branch_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-02|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-03|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-04|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-05|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-06|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-07|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-08|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-09|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-10|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-11|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-12|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-13|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-14|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-15|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-16|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-17|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-18|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-19|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-20|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-21|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-22|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-23|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-24|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-25|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-26|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-27|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-28|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-29|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-30|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-01-31|18377.5|0|742.0|0|3.880854624859437|0|19119.5|0
0|2020-02-01|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-02|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-03|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-04|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-05|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-06|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-07|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-08|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-09|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
0|2020-02-10|18673.5|0|642.5|0|3.326258024435701|0|19316.0|0
