|dates|Hitchcock_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hitchcock_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hitchcock_Nebraska_UnitedStates.Male_Total_Population.data|Hitchcock_Nebraska_UnitedStates.Male_Total_Population.missing|Hitchcock_Nebraska_UnitedStates.Female_Total_Population.data|Hitchcock_Nebraska_UnitedStates.Female_Total_Population.missing|Hitchcock_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hitchcock_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-02|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-03|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-04|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-05|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-06|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-07|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-08|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-09|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-10|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-11|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-12|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-13|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-14|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-15|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-16|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-17|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-18|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-19|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-20|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-21|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-22|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-23|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-24|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-25|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-26|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-27|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-28|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-29|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-30|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-01-31|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-01|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-02|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-03|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-04|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-05|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-06|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-07|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-08|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-09|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-10|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-11|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-12|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-13|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-14|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-15|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-16|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-17|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-18|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-19|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-20|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-21|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-22|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-23|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-24|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-25|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-26|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-27|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-28|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-02-29|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-01|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-02|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-03|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-04|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-05|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-06|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-07|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-08|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-09|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-10|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-11|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-12|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-13|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-14|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-15|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-16|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-17|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-18|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-19|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-20|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-21|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-22|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-23|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-24|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-25|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-26|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-27|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-28|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-29|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-30|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-03-31|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-04-01|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-04-02|711.0|0|1413.0|0|1393.0|0|640.0|0
0|2020-04-03|711.0|0|1413.0|0|1393.0|0|640.0|0
