|dates|Conejos_Colorado_UnitedStates.BLS_EmployedPopulation.data|Conejos_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Conejos_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Conejos_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Conejos_Colorado_UnitedStates.BLS_UnemploymentRate.data|Conejos_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Conejos_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Conejos_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-02|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-03|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-04|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-05|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-06|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-07|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-08|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-09|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-10|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-11|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-12|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-13|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-14|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-15|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-16|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-17|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-18|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-19|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-20|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-21|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-22|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-23|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-24|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-25|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-26|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
0|2020-01-27|3856.0|0|162.0|0|4.031856645097063|0|4018.0|0
