|dates|Rusk_Texas_UnitedStates.BLS_EmployedPopulation.data|Rusk_Texas_UnitedStates.BLS_EmployedPopulation.missing|Rusk_Texas_UnitedStates.BLS_UnemployedPopulation.data|Rusk_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Rusk_Texas_UnitedStates.BLS_UnemploymentRate.data|Rusk_Texas_UnitedStates.BLS_UnemploymentRate.missing|Rusk_Texas_UnitedStates.BLS_LaborForcePopulation.data|Rusk_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-02|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-03|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-04|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-05|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-06|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-07|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-08|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-09|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-10|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-11|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-12|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-13|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-14|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-15|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-16|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-17|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-18|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-19|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-20|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-21|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-22|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-23|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-24|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-25|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-26|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-27|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-28|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-29|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-30|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-01-31|21966.5|0|974.0|0|4.245766221311654|0|22940.5|0
0|2020-02-01|22028.0|0|913.5|0|3.981866922389556|0|22941.5|0
0|2020-02-02|22028.0|0|913.5|0|3.981866922389556|0|22941.5|0
0|2020-02-03|22028.0|0|913.5|0|3.981866922389556|0|22941.5|0
0|2020-02-04|22028.0|0|913.5|0|3.981866922389556|0|22941.5|0
0|2020-02-05|22028.0|0|913.5|0|3.981866922389556|0|22941.5|0
