|dates|Concho_Texas_UnitedStates.BLS_EmployedPopulation.data|Concho_Texas_UnitedStates.BLS_EmployedPopulation.missing|Concho_Texas_UnitedStates.BLS_UnemployedPopulation.data|Concho_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Concho_Texas_UnitedStates.BLS_UnemploymentRate.data|Concho_Texas_UnitedStates.BLS_UnemploymentRate.missing|Concho_Texas_UnitedStates.BLS_LaborForcePopulation.data|Concho_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-02|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-03|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-04|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-05|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-06|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-07|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-08|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-09|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-10|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-11|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-12|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-13|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-14|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-15|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-16|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-17|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-18|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-19|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-20|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-21|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-22|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-23|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-24|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-25|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-26|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-27|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-28|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-29|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-30|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-01-31|1293.5|0|38.0|0|2.853924145700338|0|1331.5|0
0|2020-02-01|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-02|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-03|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-04|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-05|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-06|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-07|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-08|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-09|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-10|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-11|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-12|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-13|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-14|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-15|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-16|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-17|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-18|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-19|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-20|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
0|2020-02-21|1313.0|0|37.0|0|2.740740740740741|0|1350.0|0
