|dates|Graham_Arizona_UnitedStates.BLS_EmployedPopulation.data|Graham_Arizona_UnitedStates.BLS_EmployedPopulation.missing|Graham_Arizona_UnitedStates.BLS_UnemployedPopulation.data|Graham_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|Graham_Arizona_UnitedStates.BLS_UnemploymentRate.data|Graham_Arizona_UnitedStates.BLS_UnemploymentRate.missing|Graham_Arizona_UnitedStates.BLS_LaborForcePopulation.data|Graham_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-02|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-03|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-04|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-05|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-06|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-07|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-08|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-09|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-10|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-11|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-12|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-13|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-14|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-15|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-16|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-17|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-18|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-19|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-20|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-21|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-22|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
0|2020-01-23|14732.0|0|789.5|0|5.086492929162774|0|15521.5|0
