|dates|Stanley_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Stanley_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Stanley_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Stanley_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Stanley_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Stanley_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Stanley_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Stanley_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-02|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-03|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-04|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-05|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-06|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-07|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-08|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-09|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-10|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-11|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-12|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-13|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-14|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-15|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-16|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-17|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-18|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-19|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-20|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-21|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-22|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-23|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-24|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
0|2020-01-25|1782.0|0|71.0|0|3.8316243928764164|0|1853.0|0
